Name,Father Name,Roll Number,Mathematics*,Science*,English*,Urdu*,Islamiat*,Pakistan Studies*,Computer Science*,Physics*,Chemistry*,Biology*,Geography*,History*,Economics*,Business Studies*,Accounting*,Art*,Music*,Physical Education*,Sindhi*,Arabic*,Total Marks,Obtain Marks,Percentage,Status,Grade,Academic Year
Maryam Davis,Mr. Sunil,SCI-0001,80,12,53,99,-,-,-,12,16,84,-,8,40,29,-,40,18,-,59,-,1300,737,56.69,PASS,D,2024-2025
Daniel Smith,Mr. Raj,2024-0002,49,-,49,85,81,-,12,80,33,81,-,77,64,-,-,-,72,74,-,53,1300,894,68.77,PASS,C,2024-2025
Zain Mirza,Manoj,COM-0003,15,30,28,24,42,63,-,78,98,-,31,-,-,73,-,1,-,-,-,36,1200,798,66.50,PASS,C,2024-2025
Aisha Smith,M. Kamran,24-0004,50,-,1,59,96,-,-,33,-,-,45,24,72,55,-,89,-,-,80,56,1200,604,50.33,PASS,D,2024-2025
Yusuf Hussain,Mr. Hussain,2024-0005,-,44,14,44,35,-,95,49,11,17,-,-,87,98,41,-,-,26,74,87,1400,673,48.07,PASS,E,2024-2025
Ali Wu,William,24-0006,35,8,3,90,93,15,91,-,4,53,64,47,36,60,-,46,19,21,-,84,1700,762,44.82,PASS,E,2024-2025
Laura Baig,M. Robert,2024-0007,19,66,-,90,57,11,48,-,57,74,90,-,43,79,45,74,70,97,96,50,1700,809,47.59,PASS,E,2024-2025
Stephanie Zhou,Anil,SC-0008,-,-,1,-,66,78,100,83,79,65,-,87,-,-,41,36,27,18,60,-,1300,738,56.77,PASS,D,2024-2025
William Ahmed,Richard,24-0009,-,54,-,0,84,80,98,60,83,49,31,53,-,14,57,-,-,-,60,97,1400,844,60.29,PASS,C,2024-2025
Robert Qureshi,M. David,2024-0010,-,74,76,82,97,67,94,-,45,63,-,4,23,-,-,59,2,99,72,13,1500,597,39.80,PASS,E,2024-2025
Jennifer Gupta,M. Praveen,2024-0011,82,93,28,-,82,74,30,-,-,72,34,-,41,22,40,40,42,48,26,57,1600,857,53.56,PASS,D,2024-2025
Bilal Hussain,Mr. Mohammad,24-0012,46,95,80,75,16,-,79,10,41,97,65,-,-,-,-,16,-,66,-,-,1200,402,33.50,PASS,E,2024-2025
Elizabeth Malik,Mr. James,COM-0013,-,10,-,11,34,48,-,-,-,81,93,77,-,29,-,4,-,-,2,0,1100,473,43.00,PASS,E,2024-2025
David Jones,Mr. Nadeem,ARTS-0014,42,24,-,94,-,42,33,3,-,86,-,-,94,-,100,10,-,38,99,87,1300,595,45.77,PASS,E,2024-2025
Omar Ahmed,M. Charles,ARTS-0015,81,-,37,62,49,46,17,89,59,12,0,32,26,17,89,40,98,-,-,18,1700,1013,59.59,PASS,D,2024-2025
Daniel Jain,M. Usman,24-0016,-,87,1,-,23,61,-,92,57,52,32,18,-,14,14,99,-,3,-,61,1400,589,42.07,PASS,E,2024-2025
Stephanie Williams,Mr. Manoj,ARTS-0017,-,-,96,21,-,14,-,44,-,9,-,42,0,16,39,50,36,-,53,16,1300,648,49.85,PASS,E,2024-2025
Fatima Zhang,Vikram,COM-0018,-,28,46,86,21,54,41,-,7,-,99,84,23,40,93,40,15,-,58,-,1500,796,53.07,PASS,D,2024-2025
Usman Huang,M. Ali,SC-0019,63,30,-,-,-,87,46,48,39,82,59,-,-,3,100,63,71,10,-,45,1400,780,55.71,PASS,D,2024-2025
James Jones,Richard,SC-0020,24,-,-,-,26,67,-,100,-,86,89,30,14,38,-,-,-,87,-,-,1000,466,46.60,PASS,E,2024-2025
Rabia Qureshi,William,STU-0021,67,18,-,65,17,-,71,17,36,9,1,40,6,65,49,-,-,44,80,0,1600,800,50.00,PASS,D,2024-2025
Bilal Kumar,Mohammad,ARTS-0022,-,-,92,60,55,60,2,38,15,14,54,86,39,56,99,-,8,50,92,26,1700,816,48.00,PASS,E,2024-2025
Ali Kumar,M. Kamran,2024-0023,-,87,-,18,9,-,-,31,72,-,13,87,-,-,19,-,43,28,66,56,1200,538,44.83,PASS,E,2024-2025
Hussain Mehta,M. Ahmed,SCI-0024,-,71,24,42,76,35,-,-,52,-,51,-,-,92,38,15,-,-,-,-,1000,597,59.70,PASS,D,2024-2025
Michelle Rodriguez,Mr. Anil,ARTS-0025,41,-,71,54,-,66,-,-,42,37,-,-,28,-,99,-,30,97,64,-,1100,491,44.64,PASS,E,2024-2025
Laura Sharma,Usman,COM-0026,76,3,69,-,24,14,-,69,40,-,-,40,98,21,-,84,27,15,64,-,1400,699,49.93,PASS,E,2024-2025
James Khan,M. Ashok,SCI-0027,82,14,-,-,56,-,70,1,-,2,-,-,50,-,39,77,61,86,-,-,1100,527,47.91,PASS,E,2024-2025
Bilal Brown,M. Joseph,ARTS-0028,54,34,65,85,37,38,-,-,43,92,-,81,-,48,67,-,51,-,42,59,1400,873,62.36,PASS,C,2024-2025
Matthew Shah,Mr. Robert,SC-0029,-,25,70,19,14,57,27,77,25,-,5,56,71,68,-,2,99,99,-,75,1600,684,42.75,PASS,E,2024-2025
Fatima Reddy,Mr. Hassan,STU-0030,84,0,-,89,73,-,30,-,45,40,95,-,46,28,94,96,78,-,23,89,1500,625,41.67,PASS,E,2024-2025
Usman Johnson,Mr. Praveen,24-0031,-,93,-,56,73,88,70,6,35,89,90,-,-,-,99,71,4,2,-,90,1400,935,66.79,PASS,C,2024-2025
Stephanie Singh,M. Daniel,COM-0032,42,30,-,99,34,-,47,-,45,63,-,95,86,-,-,73,88,51,-,33,1300,491,37.77,PASS,E,2024-2025
Fatima Rao,M. Mohammad,SC-0033,40,-,-,27,16,89,-,-,36,86,-,-,-,74,53,70,-,21,38,99,1200,760,63.33,PASS,C,2024-2025
Michelle Wang,M. Kamran,ARTS-0034,4,87,46,55,93,37,81,9,96,80,74,-,-,-,63,89,-,96,66,-,1500,666,44.40,PASS,E,2024-2025
Sana Brown,Mr. Praveen,STU-0035,-,54,-,-,-,96,-,-,11,-,-,-,67,-,89,28,64,87,-,90,900,518,57.56,PASS,D,2024-2025
Elizabeth Jones,Mr. Robert,SCI-0036,81,88,49,-,27,19,-,-,68,-,73,80,-,50,72,-,27,-,-,89,1200,468,39.00,PASS,E,2024-2025
Elizabeth Garcia,Mr. Daniel,STU-0037,-,18,59,12,79,-,100,-,12,49,-,21,29,-,51,-,-,-,66,5,1200,760,63.33,PASS,C,2024-2025
